addressid,addressline1,addressline2,city,stateprovinceid,postalcode,spatiallocation,rowguid,modifieddate
11,1318 Lasalle Street,,Bothell,79,98011,\xe6100000010cceffbbfd9fe9474057b9479c728e5ec0,981b3303-aca2-49c7-9a96-fb670785b269,2013-02-28 00:00:00
12,5415 San Gabriel Dr.,,Bothell,79,98011,\xe6100000010c6a80ad742ddc474011a5c28a7c955ec0,1c2c9cfe-ab9f-4f96-8e1f-d9666b6f7f22,2013-01-05 00:00:00
13,9265 La Paz,,Bothell,79,98011,\xe6100000010cc3228c0867e84740f3bc169b7f835ec0,e0ba2f52-c907-4553-a0db-67fc67d28ae4,2013-12-14 00:00:00
14,8157 W. Book,,Bothell,79,98011,\xe6100000010c219d64ae1fe4474067a89189898a5ec0,a1c658ae-c553-4a9d-a081-a550d39b64df,2009-12-04 00:00:00
15,4912 La Vuelta,,Bothell,79,98011,\xe6100000010c219d64ae1fe447405e6ed153b4945ec0,f397e64a-a9d8-4e57-9e7c-b10928acadd6,2013-11-18 00:00:00
16,40 Ellis St.,,Bothell,79,98011,\xe6100000010cf76e45efc9dc474067a89189898a5ec0,0312b65f-cb60-4396-9ec7-a78b2eac1a1b,2012-11-09 00:00:00
17,6696 Anchor Drive,,Bothell,79,98011,\xe6100000010c034c75e402de4740bc262a0a03905ec0,ce9b3b47-9267-4727-bcd2-687c47482c06,2013-11-08 00:00:00
18,1873 Lion Circle,,Bothell,79,98011,\xe6100000010c219d64ae1fe447405ff307d247845ec0,963854f7-e3cb-46a1-a3db-1b05f71d6473,2013-11-30 00:00:00
19,3148 Rose Street,,Bothell,79,98011,\xe6100000010c813a0d5f9fde47407ddbb3c144965ec0,6b7acb0f-cdbf-44fd-ba14-eb08a56c1582,2014-04-03 00:00:00
20,6872 Thornwood Dr.,,Bothell,79,98011,\xe6100000010c034c75e402de4740483baf1bf9885ec0,4b1f1ed4-97a4-43fd-bb1e-9e05817718e8,2009-02-05 00:00:00
21,5747 Shirley Drive,,Bothell,79,98011,\xe6100000010ceb9115fa90db47408e4f342def815ec0,d83299d7-a0f4-4055-9bd5-5908e245d757,2009-02-11 00:00:00
22,636 Vine Hill Way,,Portland,58,97205,\xe6100000010cb55b852318c34640dd7a52c8d3a75ec0,7f641525-2704-4f73-9d8a-eb062cfbfa3c,2011-05-24 00:00:00
23,6657 Sand Pointe Lane,,Seattle,79,98104,\xe6100000010c9f07fd5862dd47409f583a2ee9975ec0,b991568f-5096-4a92-b25c-1a3e4d2acc66,2009-01-15 00:00:00
24,80 Sunview Terrace,,Duluth,36,55802,\xe6100000010c04554a7dd566474059f1e1d0b30457c0,be07d3c8-6e58-4670-9da9-151ab6d3d620,2011-05-24 00:00:00
25,9178 Jumping St.,,Dallas,73,75201,\xe6100000010c10a810d1886240403a0f0653663158c0,c8df3bd9-48f0-4654-a8dd-14a67a84d3c6,2012-07-31 00:00:00
26,5725 Glaze Drive,,San Francisco,9,94109,\xe6100000010cfe3883fd5ae14240e38a86b1249a5ec0,77415959-a4ee-4da6-86f9-70c097560005,2011-05-24 00:00:00
27,2487 Riverside Drive,,Nevada,74,84407,\xe6100000010c50ecc7344ca044400c0b98ab57fa5bc0,c1d0f3b0-6b2a-4388-8861-48f44d8270a1,2011-05-24 00:00:00
28,9228 Via Del Sol,,Phoenix,6,85004,\xe6100000010cceead68894d440404d9d2edc020e5cc0,12ae5ee1-fc3e-468b-9b92-3b970b169774,2011-08-01 00:00:00
29,8291 Crossbow Way,,Memphis,72,38103,\xe6100000010c7aed632c1d9641401c8388ae3c8a56c0,7cc794ad-1822-412b-ab94-337a89a1d0c9,2011-05-24 00:00:00
30,9707 Coldwater Drive,,Orlando,15,32804,\xe6100000010c90c10f63019f3c4089a0f6721c5254c0,7431591f-36c1-4a65-b722-0e006db73557,2011-07-01 00:00:00
31,9100 Sheppard Avenue North,,Ottawa,57,K4B 1T7,\xe6100000010cfe790de102a84640715f3bde74d652c0,644dea26-e6fd-4019-85e6-35364ddab0cc,2011-05-24 00:00:00
32,26910 Indela Road,,Montreal,63,H1Y 2H5,\xe6100000010c30d3fd464fca4640cd2a07b90e6152c0,84a95f62-3ae8-4e7e-bbd5-5a6f00cd982d,2012-06-30 00:00:00
33,10203 Acorn Avenue,,Calgary,1,T2P 2G8,\xe6100000010cb2f2fc2e338e4940ba61b7d381795cc0,237986d3-0f02-4d59-9b2e-6b1a6b5a6185,2011-05-24 00:00:00
34,"94, rue Descartes",,Bordeaux,119,33000,\xe6100000010c1f9aacd1b8624640606323101251e3bf,57f25eed-0f07-43ba-83b4-5a4b398f4bf2,2013-12-21 10:09:29.423
35,Pascalstr 951,,Berlin,20,14111,\xe6100000010c078d021125484a408ad730111f9c2a40,2985cf68-8155-45a3-b086-7b08bd4d46ef,2013-05-23 00:00:00
36,34 Waterloo Road,,Melbourne,77,3000,\xe6100000010c17c9c9d093e642c035b63cbed31e6240,18e590a6-a500-48b5-b092-9e0b59816436,2013-05-23 00:00:00
37,Downshire Way,,Cambridge,14,BA5 3HX,\xe6100000010cfd6ecf37749849406e2ca98c0af704c0,7f80f9ce-50f1-404b-8c18-7c95ee35a6ee,2012-05-23 00:00:00
38,8154 Via Mexico,,Detroit,35,48226,\xe6100000010c3d5a41438330454086e592457fc954c0,bd54f2ad-157a-4491-9f05-cc1d5a492cf1,2011-05-24 00:00:00
39,3997 Via De Luna,,Cambridge,30,02139,\xe6100000010c74132705e72b4540e64a71e28acb51c0,a5a9ac6d-5488-4a15-a932-f6fa651093f7,2012-09-23 00:00:00
40,1902 Santa Cruz,,Bothell,79,98011,\xe6100000010c96d19c3e4ae2474057b9479c728e5ec0,5a0c5c47-18be-420b-89ba-d39878160d80,2010-02-01 00:00:00
41,793 Crawford Street,,Kenmore,79,98028,\xe6100000010cf89d8a7846e84740d1680c2dc38a5ec0,58f28ffb-be74-47f9-aec0-d5771026ed8f,2014-03-25 00:00:00
42,463 H Stagecoach Rd.,,Kenmore,79,98028,\xe6100000010c1bf06593f0e047402dcb06c6d9865ec0,782c540d-3ead-4d15-b170-e60616cf125b,2009-01-20 00:00:00
43,5203 Virginia Lane,,Kenmore,79,98028,\xe6100000010c20d3df97b7df47402990709d32895ec0,e210a601-42b9-4313-979d-4bcca6144343,2010-02-13 00:00:00
44,4095 Cooper Dr.,,Kenmore,79,98028,\xe6100000010c150dec8e29e24740146981d2ee945ec0,e6a218ae-516c-4cd6-a0a9-105fcd46994b,2008-12-27 00:00:00
45,6697 Ridge Park Drive,,Kenmore,79,98028,\xe6100000010c4225bbb261d84740146981d2ee945ec0,95a73034-bd61-4349-b337-02d647c88cdd,2008-11-25 00:00:00
46,5669 Ironwood Way,,Kenmore,79,98028,\xe6100000010c76ac4df6e2e84740c9f2dfdb748f5ec0,8fd29f31-eb25-4ec7-9258-fef7160119c0,2009-01-29 00:00:00
47,8192 Seagull Court,,Kenmore,79,98028,\xe6100000010c04647e81d4e547407941a8bc538c5ec0,3de1bde3-ff37-4992-b50e-e12d5e247132,2009-01-11 00:00:00
48,5553 Cash Avenue,,Kenmore,79,98028,\xe6100000010cc0337e30fed8474075061294ac8e5ec0,1875165e-d9e4-414f-8fcb-6a8720625443,2014-01-31 00:00:00
49,7048 Laurel,,Kenmore,79,98028,\xe6100000010c1bf06593f0e04740c9f2dfdb748f5ec0,c172e367-e6e6-4200-8865-12902022b891,2009-02-01 00:00:00
50,25 95th Ave NE,,Kenmore,79,98028,\xe6100000010c0947f8859be44740bc411d627f965ec0,8ad42881-a81b-4a4d-95c2-6d34a55f3bc9,2009-02-06 00:00:00
51,3280 Pheasant Circle,,Snohomish,79,98296,\xe6100000010ce394e9d501e2474014b8b3d8fe915ec0,d40aa5ff-462b-4322-9c67-c7b5f468e6e3,2008-11-30 00:00:00
52,4231 Spar Court,,Snohomish,79,98296,\xe6100000010c182c38b72be047407d89ead8cd805ec0,19801401-913f-45fa-a7d3-8573f35202e7,2009-01-20 00:00:00
53,1285 Greenbrier Street,,Snohomish,79,98296,\xe6100000010c39db74cbb2f0474003cacbfb25835ec0,d08e2b94-ffc3-44f6-b926-ecd76f0360f6,2008-12-28 00:00:00
54,5724 Victory Lane,,Snohomish,79,98296,\xe6100000010c39db74cbb2f04740890aad1e7e855ec0,aeb2271b-a9e9-454e-b04b-8a3b91014463,2010-01-29 00:00:00
55,591 Merriewood Drive,,Snohomish,79,98296,\xe6100000010c1040a96179ef47407261b07bbe8b5ec0,ab314668-eacd-4440-9832-cccf2b187078,2009-02-16 00:00:00
56,3114 Notre Dame Ave.,,Snohomish,79,98296,\xe6100000010c1040a96179ef4740720828931d7c5ec0,e7a29ce5-7ec6-4e64-9480-0c166297b6a5,2013-11-29 00:00:00
57,7230 Vine Maple Street,,Snohomish,79,98296,\xe6100000010ca50d8f1616f047407261b07bbe8b5ec0,2c5fe85e-796e-4666-b449-9cfdfa870058,2009-01-22 00:00:00
58,2601 Cambridge Drive,,Snohomish,79,98296,\xe6100000010c43cffd3184e747408e77d2b5a68f5ec0,44668102-3c93-4005-baab-e14d351d1522,2008-12-05 00:00:00
59,2115 Passing,,Snohomish,79,98296,\xe6100000010cdaa4ddf73fee474077754d2a46865ec0,77923f90-fccd-40ae-8c51-52a2267a5a61,2008-11-30 00:00:00
60,4852 Chaparral Court,,Snohomish,79,98296,\xe6100000010c78664c13aee54740e6b3a9c13d7f5ec0,5457d27a-52b3-4150-87ea-96b42645ab01,2009-12-25 00:00:00
61,7726 Driftwood Drive,,Monroe,79,98272,\xe6100000010cc440a386ace847406c86ccd635785ec0,07373e01-bd99-405a-996a-ab68984423c3,2006-06-23 00:00:00
62,3841 Silver Oaks Place,,Monroe,79,98272,\xe6100000010cc56e23cc68ef4740949bc704ea835ec0,851aa003-2d0f-4165-a54b-a13d9b86924a,2008-11-27 00:00:00
63,9652 Los Angeles,,Monroe,79,98272,\xe6100000010cc440a386ace8474044786554c5795ec0,e031cc1e-3e82-4338-b590-5fe91242deff,2009-01-27 00:00:00
64,4566 La Jolla,,Monroe,79,98272,\xe6100000010c827f23cedbf14740bba92e875a825ec0,39efcf68-25ca-4b41-9882-a91f8fc2ec62,2009-01-08 00:00:00
65,1356 Grove Way,,Monroe,79,98272,\xe6100000010c8151a3881feb474036062d4141865ec0,c9ed93ad-fe56-4a9e-86d0-e53db70db0cc,2009-02-14 00:00:00
66,4775 Kentucky Dr.,Unit E,Monroe,79,98272,\xe6100000010c9c3c23c60fe84740e5db36e5d86e5ec0,462876dd-b30c-4e9b-a0ad-67a0e14986c6,2014-05-27 00:00:00
67,4734 Sycamore Court,,Monroe,79,98272,\xe6100000010c4b7ba30d3ff147406d8d608279855ec0,f6a0bc36-9c6e-4395-a7d5-8f31ad3775f4,2008-12-20 00:00:00
68,896 Southdale,,Monroe,79,98272,\xe6100000010cfa16a3018de24740d669fed1547b5ec0,bff6c765-a8ea-4f40-9c87-43c8829eb396,2009-02-26 00:00:00
69,2275 Valley Blvd.,,Monroe,79,98272,\xe6100000010c594d23c882ea474078d4630eac7d5ec0,192987fc-ca4b-421a-8ea9-52ed8eed3d32,2009-01-14 00:00:00
70,1792 Belmont Rd.,,Monroe,79,98272,\xe6100000010caa83a38e78f247406c86ccd635785ec0,5f659de9-3a31-41d5-bb92-ea0d34486c83,2008-12-02 00:00:00
71,5734 Ashford Court,,Monroe,79,98272,\xe6100000010c0730a38439e6474093943359a6765ec0,5cd0edd1-7841-49c9-aebb-69ed1cd2989c,2008-02-13 00:00:00
72,5030 Blue Ridge Dr.,,Monroe,79,98272,\xe6100000010c2377234da2f04740cb22fb4522835ec0,51711cd3-947c-4666-882f-a50943e12339,2009-02-06 00:00:00
73,158 Walnut Ave,,Monroe,79,98272,\xe6100000010c6638a30573e74740a20d00186e775ec0,2ad59424-b8fc-4957-82f7-62c11dd89235,2009-02-07 00:00:00
74,8310 Ridge Circle,,Monroe,79,98272,\xe6100000010c3e9023d04ef447405f38359fbf725ec0,82780fdb-8df5-4334-9994-2d306ecc73e1,2008-11-30 00:00:00
75,3747 W. Landing Avenue,,Monroe,79,98272,\xe6100000010c221b23c229e34740f23062c892815ec0,05524ab0-4696-4670-8d2f-580b6a5df760,2009-02-28 00:00:00
76,2598 La Vista Circle,,Duvall,79,98019,\xe6100000010cb0ea3db968e347402ce232b5ed685ec0,3661f140-8de9-4c81-a54e-661e6c61a801,2009-02-03 00:00:00
77,9693 Mellowood Street,,Duvall,79,98019,\xe6100000010c2d6899baafe747407520d45948725ec0,c83b3a62-3561-4378-b307-540451ac23bd,2008-02-20 00:00:00
78,1825 Corte Del Prado,,Duvall,79,98019,\xe6100000010c1b709e483eda4740d1d0abb0f16f5ec0,86f8d7ea-af62-4a35-8fc6-4278bca608f1,2008-12-27 00:00:00
79,5086 Nottingham Place,,Duvall,79,98019,\xe6100000010c39f1e4fe68d847402d8183079b6d5ec0,83393058-231c-4d1e-863a-88385d126810,2010-01-17 00:00:00
80,3977 Central Avenue,,Duvall,79,98019,\xe6100000010c0bef579213dc474076bf24acf5765ec0,30a7ad1e-78f0-4f04-83ee-2cd1c37d59a5,2009-02-02 00:00:00
81,8209 Green View Court,,Duvall,79,98019,\xe6100000010c8f71fc90ccd74740a0fcea42b5695ec0,41ae4c8a-1922-427a-b66f-3779639b0f42,2010-02-20 00:00:00
82,8463 Vista Avenue,,Duvall,79,98019,\xe6100000010ca069f7023ee5474062ae9da7f97d5ec0,c2ae1ea5-4f3c-413c-8810-4185ee46bb96,2009-02-21 00:00:00
83,5379 Treasure Island Way,# 14,Duvall,79,98019,\xe6100000010c2d6899baafe747408e2905e3137a5ec0,f229a37b-c8d9-4e4a-99bb-4d12715a2f5e,2009-02-04 00:00:00
84,3421 Bouncing Road,,Duvall,79,98019,\xe6100000010ca069f7023ee5474032792d8c6a7c5ec0,83b10347-08dc-4e5e-8a94-60deb34d92a7,2008-12-01 00:00:00
85,991 Vista Verde,,Duvall,79,98019,\xe6100000010ce5f1132330d74740a5f494c784785ec0,8eab0498-eb64-4f80-aede-ca3735d4c097,2009-02-01 00:00:00
86,390 Ridgewood Ct.,,Carnation,79,98014,\xe6100000010c8b773fa1afdd4740ed29e16761775ec0,dafbd136-5ac2-4f16-8d82-2bfffd60b7a7,2008-12-20 00:00:00
87,1411 Ranch Drive,,Carnation,79,98014,\xe6100000010c866a60ef3edb4740d4329d84b8795ec0,b7ad6512-9b80-4fdb-8ebb-b9934b211cea,2009-02-06 00:00:00
88,9666 Northridge Ct.,,Carnation,79,98014,\xe6100000010cbcec7ca2a7cf4740370fad115c705ec0,fd316d3a-10f5-41d7-8cd9-7b1eaa851223,2008-12-01 00:00:00
89,3074 Arbor Drive,,Carnation,79,98014,\xe6100000010c8a50a28b5dd647408a4dd1dabd805ec0,bf8e2fbe-1bc0-4643-9764-2903c86438ec,2008-12-14 00:00:00
90,9752 Jeanne Circle,,Carnation,79,98014,\xe6100000010c8f5d813dced84740bc3b59a10f7c5ec0,5582d57f-9e56-4d15-8633-633206d2a182,2010-01-09 00:00:00
91,7166 Brock Lane,,Seattle,79,98104,\xe6100000010c8726b9b50fcf47409a9689d608995ec0,219725c5-2537-45db-879d-ce160729eece,2008-12-15 00:00:00
92,7126 Ending Ct.,,Seattle,79,98104,\xe6100000010c9a77bce123c747406282ba744a8d5ec0,dedcaecb-19b4-4441-9bbb-bc758329f406,2007-12-19 00:00:00
93,4598 Manila Avenue,,Seattle,79,98104,\xe6100000010c76957ebcd7cd4740789e0f64bb9d5ec0,058435df-1143-4921-a47e-fd02e7f05ea7,2010-01-29 00:00:00
94,5666 Hazelnut Lane,,Seattle,79,98104,\xe6100000010c76957ebcd7cd47409a9689d608995ec0,1033ef53-1246-4830-878c-516d4697ed8b,2009-02-24 00:00:00
95,1220 Bradford Way,,Seattle,79,98104,\xe6100000010c019ee4eb4fc547405f3eb2fc77975ec0,ef7470d7-d3ce-4e30-ae81-6e1f7752134e,2008-12-08 00:00:00
96,5375 Clearland Circle,,Seattle,79,98104,\xe6100000010ca8482ea87fd147408346388a2a9c5ec0,ef57ea2b-15fd-4887-90dc-77ec79ae67e9,2009-01-04 00:00:00
97,2639 Anchor Court,,Seattle,79,98104,\xe6100000010cdafbdd9327d5474067d6ce07828c5ec0,9c3d0b0d-e3b3-4696-b0eb-a90356cb8acc,2014-02-07 00:00:00
98,502 Alexander Pl.,,Seattle,79,98104,\xe6100000010c52b340978bd44740703aefb51e955ec0,b3d67582-a180-42ad-be0d-e8fac4080354,2009-01-25 00:00:00
99,5802 Ampersand Drive,,Seattle,79,98104,\xe6100000010c63447b90c3d54740789e0f64bb9d5ec0,137cc1ba-089a-4e2d-91bf-7480802a7e00,2008-12-31 00:00:00
100,5125 Cotton Ct.,,Seattle,79,98104,\xe6100000010ceb8c188d5fd647406492c68faf965ec0,ab6bcc20-67d3-4a26-ba02-cdc917c2dee4,2009-02-03 00:00:00
101,3243 Buckingham Dr.,# 207,Seattle,79,98104,\xe6100000010c3091cba41bd24740703aefb51e955ec0,0f1f79ab-54a1-4c6c-beb7-e476e8521599,2009-02-15 00:00:00
102,3029 Pastime Dr,# 2,Seattle,79,98104,\xe6100000010c0f6f56b2abcf4740b84afbd0839e5ec0,5e77ca8d-72d4-4572-8f88-1a1a5a7969f0,2009-01-04 00:00:00
103,9537 Ridgewood Drive,,Seattle,79,98104,\xe6100000010cab08f7da5bc847405f3eb2fc77975ec0,906f7b49-e609-42cb-9bf5-ed5c043d166c,2010-02-05 00:00:00
104,9964 North Ridge Drive,,Seattle,79,98104,\xe6100000010c0f6f56b2abcf4740868a4002fd915ec0,3b560935-ad49-458d-9c58-3d09c4b1ec3e,2009-01-29 00:00:00
105,1619 Stillman Court,,Seattle,79,98104,\xe6100000010cdafbdd9327d547406ae6da22e7955ec0,3a7baabe-a265-43de-86e1-cfe6ea60e3b0,2008-12-19 00:00:00
106,2144 San Rafael,,Seattle,79,98104,\xe6100000010c97b7f3ae47d04740868a4002fd915ec0,e0d82a90-fae8-43a9-a98d-4f6512e57709,2009-01-05 00:00:00
107,7403 N. Broadway,,Seattle,79,98104,\xe6100000010ceb8c188d5fd647407be217dc8d935ec0,c9fe9dd9-6867-44fc-9c5a-07dbc9ca6f7f,2009-01-01 00:00:00
108,7842 Ygnacio Valley Road,,Seattle,79,98104,\xe6100000010cab08f7da5bc8474056da914edb8e5ec0,6600064e-0b21-405d-85c4-6a5e1e41771d,2008-12-10 00:00:00
109,874 Olivera Road,,Seattle,79,98104,\xe6100000010cb9d968a1b7d24740703aefb51e955ec0,f868aae1-dacb-4606-88c4-eb07f4492629,2010-02-24 00:00:00
110,1064 Slow Creek Road,,Seattle,79,98104,\xe6100000010ceb8c188d5fd647407df223f7f29c5ec0,184ad4a1-45b8-4910-a2b2-a9e2a658b07c,2008-12-08 00:00:00
111,77 Birchwood,,Seattle,79,98104,\xe6100000010c22c059debfc7474051867dbba38f5ec0,c27e3b42-1548-404c-b104-f765cf42c068,2009-01-27 00:00:00
112,7765 Sunsine Drive,,Seattle,79,98104,\xe6100000010ceb8c188d5fd6474045de549534915ec0,40e9167a-db5b-4d4b-9b57-f5030a37ea4c,2009-02-19 00:00:00
113,1102 Ravenwood,,Seattle,79,98104,\xe6100000010cdafbdd9327d547409a9689d608995ec0,8a12573d-d7c2-4c04-bbb1-a2f050626670,2009-12-15 00:00:00
114,1398 Yorba Linda,,Seattle,79,98104,\xe6100000010c4122069e53d347408eee60b0999a5ec0,c32ca551-349e-42fd-ab0b-6170e7f0b516,2009-02-08 00:00:00
115,4948 West 4th St,,Seattle,79,98104,\xe6100000010c200091abe3d0474056da914edb8e5ec0,e7cbd421-ffd2-4a42-a143-67da8558cc03,2009-02-13 00:00:00
116,8290 Margaret Ct.,,Seattle,79,98104,\xe6100000010ccc2a6ccdcbca47406ae6da22e7955ec0,db4fab47-ed99-45b0-9064-3aa30f94d74d,2009-01-10 00:00:00
117,426 San Rafael,,Seattle,79,98104,\xe6100000010c650444c39fcc474045de549534915ec0,5c85508e-c13b-49f2-a260-0a0825ed9b81,2009-02-08 00:00:00
118,136 Balboa Court,,Seattle,79,98104,\xe6100000010cb9d968a1b7d247408346388a2a9c5ec0,e8d35bfa-25ae-422e-b9e9-1d4f4aea18cc,2008-12-25 00:00:00
119,7439 Laguna Niguel,,Seattle,79,98104,\xe6100000010c122f1fe587c64740789e0f64bb9d5ec0,e09b80e3-dd7f-4dd5-a930-3f1dee324f48,2008-11-28 00:00:00
120,6498 Mining Rd.,,Seattle,79,98104,\xe6100000010cee4ce1bf3bcd47404b3269286c905ec0,fb839852-9026-4c74-a7f2-e53030b7a434,2009-02-08 00:00:00
121,6578 Woodhaven Ln.,,Seattle,79,98104,\xe6100000010ccc2a6ccdcbca47404b3269286c905ec0,84eaaa89-fdb6-492b-ad96-76793872c81b,2008-11-26 00:00:00
122,2354 Frame Ln.,,Seattle,79,98104,\xe6100000010c8726b9b50fcf47404b3269286c905ec0,28b00d11-67b0-4818-8b3a-1cfd2ff6169d,2009-12-18 00:00:00
123,6843 San Simeon Dr.,,Seattle,79,98104,\xe6100000010ccc2a6ccdcbca47407df223f7f29c5ec0,27ce20f5-6770-4dcc-9b57-ec895a745553,2009-01-26 00:00:00
124,7616 Honey Court,,Seattle,79,98104,\xe6100000010c8726b9b50fcf47409fea9d6940985ec0,6a85821b-1e54-41e7-bb10-25feaf5a63e8,2008-12-05 00:00:00
125,931 Corte De Luna,,Seattle,79,98104,\xe6100000010cdafbdd9327d5474045de549534915ec0,2c9d61c7-2185-45c3-b20e-04ab9cadff7a,2008-12-08 00:00:00
126,7594 Alexander Pl.,,Seattle,79,98104,\xe6100000010cddbba6c603cc47405f3eb2fc77975ec0,fad17750-d933-4352-9c7c-2fc1378ed1a6,2008-12-10 00:00:00
127,7127 Los Gatos Court,,Seattle,79,98104,\xe6100000010c63447b90c3d5474032d20bc1288a5ec0,5648b48c-4a83-491e-a4c1-edcbb199c0fd,2008-11-29 00:00:00
128,8656 Lakespring Place,,Seattle,79,98104,\xe6100000010ca8482ea87fd14740703aefb51e955ec0,e7889d2b-ae5e-4b37-ab7b-cf28187a3114,2010-01-05 00:00:00
129,5025 Holiday Hills,,Seattle,79,98104,\xe6100000010ca8482ea87fd147404b3269286c905ec0,94d5bd03-6949-405d-b0df-7ac5f278081f,2008-12-26 00:00:00
130,5376 Catanzaro Way,,Seattle,79,98104,\xe6100000010c44e2ced02fca47405c2ea6e1128e5ec0,ad7c7f01-b283-41f1-b8f1-3aebfe50fd18,2009-02-25 00:00:00
131,504 O St.,,Edmonds,79,98020,\xe6100000010c3cd75bf523e247402bb340bb358c5ec0,e858bee0-02ad-4bab-bc2b-6a66dd046e7b,2013-12-31 00:00:00
132,6870 D Bel Air Drive,,Edmonds,79,98020,\xe6100000010c26216aa9c3ed47400c6a2f30399e5ec0,ab316a30-9d6b-4b6f-915c-616f6abd7092,2010-02-06 00:00:00
133,8152 Claudia Dr.,,Edmonds,79,98020,\xe6100000010ca2f03a1e42e84740adc92531a89c5ec0,7bbac738-c1b1-411b-b308-2054a5e1f55f,2009-01-05 00:00:00
134,6057 Hill Street,,Edmonds,79,98020,\xe6100000010c0e926bcef9e347401747ff3464965ec0,b0f69a8c-1c4e-4a41-a710-0bb1865d85aa,2008-12-15 00:00:00
135,2812 Mazatlan,,Edmonds,79,98020,\xe6100000010ca8788ca5dbdd474056ab422e5ba15ec0,e55266a9-fb17-419f-970d-f96ee2e91f7b,2009-02-19 00:00:00
136,172 Turning Dr.,,Edmonds,79,98020,\xe6100000010ca8788ca5dbdd474020d670b60a945ec0,37c96b81-2e9c-4d4d-beae-44aba1854c47,2008-12-12 00:00:00
137,9784 Mt Etna Drive,,Edmonds,79,98020,\xe6100000010c5b05fcb9eae047407e83c53afe8c5ec0,e6266748-6e05-416c-8ff9-beb5c8b15323,2008-12-16 00:00:00
138,2059 Clay Rd,,Edmonds,79,98020,\xe6100000010c74ab4af717ea47407e83c53afe8c5ec0,a158113b-ac84-4a89-8903-a6dd5f10ce82,2008-12-28 00:00:00
139,2687 Ridge Road,,Edmonds,79,98020,\xe6100000010ce04c7ba7cfe547405af9a0b1df9b5ec0,25b072ab-17f7-4c1c-a13a-acd309bbaa61,2009-01-13 00:00:00
140,371 Apple Dr.,,Edmonds,79,98020,\xe6100000010c364f0a6e8aec4740d1534abac68d5ec0,88fa21d3-2523-4cf1-bcfd-151e734f8961,2009-01-07 00:00:00
141,3281 Hillview Dr.,,Edmonds,79,98020,\xe6100000010c79339c7eb1df4740cd05ec3642935ec0,ace0c24a-95b6-4f08-b223-1a39c64e9051,2008-12-10 00:00:00
142,2080 Sycamore Drive,,Edmonds,79,98020,\xe6100000010c4beeab5787e147401747ff3464965ec0,8541e00d-8da8-429b-912e-b7e854747a00,2008-12-28 00:00:00
143,7511 Cooper Dr.,,Edmonds,79,98020,\xe6100000010c3cd75bf523e247407e83c53afe8c5ec0,a6d5094a-e523-45a8-abe5-0afc2e7b6fc1,2010-02-16 00:00:00
144,9825 Coralie Drive,,Edmonds,79,98020,\xe6100000010c160a1a4760ee474072a6f535d3945ec0,716cf949-c005-4255-ae10-a36a0e905fa2,2009-01-06 00:00:00
145,8411 Mt. Orange Place,,Edmonds,79,98020,\xe6100000010cef63cb0933e547406e65e237b1915ec0,f7053382-c9f1-45bf-a0bd-878fe976208f,2008-12-12 00:00:00
146,207 Berry Court,,Edmonds,79,98020,\xe6100000010ce04c7ba7cfe547406288123386995ec0,b374fea1-c3b5-4737-a1a4-190997e961df,2009-01-03 00:00:00
147,1061 Buskrik Avenue,,Edmonds,79,98020,\xe6100000010cfe7a1b6c96e447406a1784b42c975ec0,69b366b3-533e-4f15-9d75-588789548dd0,2009-03-01 00:00:00
